¬ыплаты;—егмент;ƒата оплаты
15839,95;ядерные риски;27.01.2022
30212,03;ядерные риски;08.01.2018
17222,36;ядерные риски;21.11.2021
534025,21;ядерные риски;22.11.2020
170851,7;ядерные риски;26.07.2017
108614,06;ядерные риски;28.03.2017
33931,98;ядерные риски;04.11.2019
-33931,98;ядерные риски;13.08.2019
33931,98;ядерные риски;07.04.2022
40718,38;ядерные риски;26.08.2020
174373,93;ядерные риски;15.10.2019
1114631,61;ядерные риски;01.06.2017
6218106,18;ядерные риски;24.03.2022
642392,7;ядерные риски;09.04.2021
2758459,85;ядерные риски;10.05.2021
565533;ядерные риски;11.03.2017
565533;ядерные риски;15.03.2018
142959,92;ядерные риски;14.08.2021
1256740;ядерные риски;31.07.2021
6283700;ядерные риски;11.12.2021
5026960;ядерные риски;21.12.2020
5026960;ядерные риски;19.03.2021
164082,49;ядерные риски;07.05.2020
92899,48;ядерные риски;29.09.2018
143002,69;ядерные риски;26.06.2017
213221,12;ядерные риски;12.08.2020
47711,25;ядерные риски;12.06.2017
178364,08;ядерные риски;30.12.2018
174005,29;ядерные риски;07.10.2017
126944,28;ядерные риски;03.09.2020
64548,68;ядерные риски;25.07.2021
188425,54;ядерные риски;04.05.2018
590667,8;ядерные риски;11.07.2021
112455,71;ядерные риски;08.06.2019
11205,58;ядерные риски;18.10.2019
4693,8;ядерные риски;07.10.2019
1256740;ядерные риски;25.03.2020
6283700;ядерные риски;04.07.2017
4612235,8;ядерные риски;29.12.2020
145462,7;ядерные риски;18.02.2019
80585,94;ядерные риски;03.03.2017
38532,04;ядерные риски;19.06.2018
280274,66;ядерные риски;18.09.2018
55642,16;ядерные риски;28.09.2020
10739,47;ядерные риски;14.04.2022
3770220;ядерные риски;21.11.2021
3770220;ядерные риски;26.06.2019
1076456,79;ядерные риски;16.09.2017
400684,29;ядерные риски;24.03.2020
313359,52;ядерные риски;17.08.2021
55826,9;ядерные риски;18.08.2021
653074,5;ядерные риски;03.07.2022
32792,44;ядерные риски;15.01.2017
300832,18;ядерные риски;25.08.2022
1919784,1;ядерные риски;27.08.2019
68299,42;ядерные риски;21.10.2021
68299,42;ядерные риски;22.10.2017
68299,42;ядерные риски;14.02.2018
68299,42;ядерные риски;08.01.2018
1555392,27;ядерные риски;23.07.2018
16258,46;ядерные риски;30.06.2017
148792,57;ядерные риски;30.09.2018
15090,32;ядерные риски;03.01.2018
13883,21;ядерные риски;10.05.2017
223154,67;ядерные риски;17.09.2020
628370;ядерные риски;07.12.2022
-628370;ядерные риски;19.09.2019
628370;ядерные риски;03.08.2022
28794,43;ядерные риски;09.08.2018
108079,64;ядерные риски;16.01.2021
242049,91;ядерные риски;29.08.2022
139409,34;ядерные риски;11.10.2022
26484,54;ядерные риски;30.06.2020
3676672,66;ядерные риски;15.01.2022
304622,33;ядерные риски;19.04.2020
-304622,33;ядерные риски;02.01.2021
304622,33;ядерные риски;23.01.2019
28368,47;ядерные риски;08.07.2019
528797,23;ядерные риски;07.03.2020
6369,16;ядерные риски;24.07.2019
3825013,32;ядерные риски;03.02.2020
3825013,32;ядерные риски;17.05.2017
123423,12;ядерные риски;24.11.2017
37923,64;ядерные риски;04.01.2019
43746,15;ядерные риски;12.03.2020
1045701,95;ядерные риски;18.11.2022
1161393,11;ядерные риски;04.01.2017
24075,37;ядерные риски;10.12.2017
46961,56;ядерные риски;23.09.2017
131871,22;ядерные риски;05.11.2022
-131871,22;ядерные риски;22.04.2017
131871,22;ядерные риски;07.01.2018
689849,67;ядерные риски;04.11.2019
404926,73;ядерные риски;07.01.2019
9037,29;ядерные риски;28.11.2021
5223,51;ядерные риски;06.01.2018
