;Итерация;Лейер;Выплаты;Доля_в_выплатах;Восст_прем
290;73;2;2105039,5;105039,5;1869,7
291;73;3;0,0;0,0;0,0
292;74;0;4024946,99;0,0;0,0
293;74;1;7726734,1;1600000,0;140280,0
294;74;2;1508088,0;8088,0;143,97
295;74;3;0,0;0,0;0,0
296;75;0;4190096,96;0,0;0,0
297;75;1;8123193,379999999;1600000,0;140280,0
298;75;2;3236105,5;236105,5;4202,68
299;75;3;0,0;0,0;0,0
300;76;0;4288527,870000001;0,0;0,0
301;76;1;7255591,75;1600000,0;140280,0
302;76;2;1508088,0;8088,0;143,97
303;76;3;0,0;0,0;0,0
304;77;0;4400804,7700000005;0,0;0,0
305;77;1;6263744,409999999;1600000,0;140280,0
306;77;2;502696,0;2696,0;47,99
307;77;3;0,0;0,0;0,0
308;78;0;4201640,78;0,0;0,0
309;78;1;10299152,160000002;1600000,0;140280,0
310;78;2;2105039,5;105039,5;1869,7
311;78;3;0,0;0,0;0,0
312;79;0;3453759,8199999994;0,0;0,0
313;79;1;10441223,459999999;1600000,0;140280,0
314;79;2;502696,0;2696,0;47,99
315;79;3;0,0;0,0;0,0
316;80;0;4407106,68;0,0;0,0
317;80;1;7439295,12;1600000,0;140280,0
318;80;2;4210079,0;210079,0;3739,41
319;80;3;0,0;0,0;0,0
320;81;0;4279214,58;0,0;0,0
321;81;1;9412210,46;1600000,0;140280,0
322;81;2;502696,0;2696,0;47,99
323;81;3;0,0;0,0;0,0
324;82;0;4883250,850000001;0,0;0,0
325;82;1;7266636,76;1600000,0;140280,0
326;82;2;1508088,0;8088,0;143,97
327;82;3;0,0;0,0;0,0
328;83;0;4115737,73;0,0;0,0
329;83;1;6897322,99;1600000,0;140280,0
330;83;2;1526939,1;26939,099999999977;479,52
331;83;3;0,0;0,0;0,0
332;84;0;4307506,49;0,0;0,0
333;84;1;9749031,11;1600000,0;140280,0
334;84;2;1728017,5;228017,5;4058,71
335;84;3;0,0;0,0;0,0
