Итерация;Выплаты;Доля_в_выплатах;Восст_прем;Премия_Re;Фин_рез;Процент_доли
196;10379300,04;1600000,0;140280,0;4000000,0;2540280,0;0,1541529769670287
197;14899269,780000001;1725970,21;142522,27;4000000,0;2416552,06;0,11584260406619738
198;16715840,080000002;1610784,0;140471,96;4000000,0;2529687,96;0,09636273093610499
199;15873929,7;1608088,0;140423,97;4000000,0;2532335,97;0,10130371183387564
200;16049624,14;1610784,0;140471,96;4000000,0;2529687,96;0,10036272413292788
201;13368596,09;1618872,0;140615,92;4000000,0;2521743,92;0,12109513886884139
202;14908719,500000002;1608088,0;140423,97;4000000,0;2532335,97;0,10786224799520842
203;14784983,67;1613480,0;140519,94;4000000,0;2527039,94;0,10912964369882189
204;13420120,5;1608088,0;140423,97;4000000,0;2532335,97;0,11982664388147632
205;14083024,270000001;1707735,5;142197,69;4000000,0;2434462,19;0,12126198657754637
206;14206708,899999999;1613480,0;140519,94;4000000,0;2527039,94;0,11357169428592995
207;13047492,0;1605392,0;140375,98;4000000,0;2534983,98;0,12304219079038331
208;13153810,529999997;1605392,0;140375,98;4000000,0;2534983,98;0,12204767556432183
209;15254966,220000003;1610784,0;140471,96;4000000,0;2529687,96;0,10559079428757986
210;15589795,36;1618872,0;140615,92;4000000,0;2521743,92;0,10384177358438398
211;12547937,35;1610784,0;140471,96;4000000,0;2529687,96;0,1283704209760021
212;14662618,19;1610784,0;140471,96;4000000,0;2529687,96;0,10985650578411467
213;13930006,79;1705039,5;142149,7;4000000,0;2437110,2;0,1224004787437724
214;17066107,75;1629635,1;140807,5;4000000,0;2511172,4;0,09548955883042518
215;13653955,89;1610784,0;140471,96;4000000,0;2529687,96;0,11797196453371579
216;10482212,39;1602696,0;140327,99;4000000,0;2537631,99;0,15289673022929465
217;13427100,27;1608088,0;140423,97;4000000,0;2532335,97;0,1197643547499925
218;11379226,100000001;1605392,0;140375,98;4000000,0;2534983,98;0,14108094749958433
219;14083803,27;1608088,0;140423,97;4000000,0;2532335,97;0,11417995332449712
220;15507412,190000001;1801991,0;143875,44;4000000,0;2341884,44;0,1162019154402834
221;17243741,220000003;1616176,0;140567,93;4000000,0;2524391,93;0,09372536849053918
222;13174341,879999999;1613480,0;140519,94;4000000,0;2527039,94;0,12247139285564071
223;12348315,629999999;1602696,0;140327,99;4000000,0;2537631,99;0,1297906571246268
224;17226706,33;1608088,0;140423,97;4000000,0;2532335,97;0,09334854668065849
225;14962599,77;1610784,0;140471,96;4000000,0;2529687,96;0,10765401900474679
226;14606834,92;1616176,0;140567,93;4000000,0;2524391,93;0,11064518828696394
227;14939084,05;1610784,0;140471,96;4000000,0;2529687,96;0,10782347797286808
228;14538328,22;1605392,0;140375,98;4000000,0;2534983,98;0,11042480096105575
229;19403321,14;6102696,0;308627,99;4000000,0;-1794068,0099999998;0,314518115531226
230;14551755,99;1699647,5;142053,73;4000000,0;2442406,23;0,11680016495383798
231;14354110,76;1705039,5;142149,7;4000000,0;2437110,2;0,11878405625455826
232;15961292,37;1705039,5;142149,7;4000000,0;2437110,2;0,1068233987872249
233;17392585,18;1610784,0;140471,96;4000000,0;2529687,96;0,09261325923257603
234;12479677,68;1602696,0;140327,99;4000000,0;2537631,99;0,12842447065507864
