;0
611;68671,67
612;48824,35
613;56553,3
614;11310,66
615;173430,12
616;314,19
617;86752,76
618;28905,02
619;150808,8
620;25763,17
621;31795,52
622;27648,28
623;6032,35
624;78923,27
625;118133,56
626;11373,5
627;198439,25
628;17594,36
629;17091,66
630;17217,34
631;76284,12
632;72980,15
633;9425,55
634;95763,59
635;20987,56
636;137553,89
637;349122,37
638;502696,0
639;255746,59
640;40215,68
641;13128,4
642;20610,54
643;14075,49
644;45242,64
645;125674,0
646;14955,21
647;53411,45
648;63842,39
649;94695,36
650;50018,25
651;251725,02
652;25009,13
653;53097,27
654;31418,5
655;22244,3
656;68492,33
657;121526,76
658;76912,49
659;8860,02
660;44739,94
661;79677,32
662;13949,81
663;20820,1
664;142011,62
665;35817,09
666;125674,0
667;36005,6
668;73393,62
669;102424,31
670;58815,43
671;5026,96
672;60449,19
673;247077,58
674;72266,32
675;37765,04
676;23815,22
677;20359,19
678;30915,8
679;64973,46
680;24632,1
681;12944,42
682;12316,05
683;12190,38
684;16400,46
685;380540,87
686;38456,24
687;20861,88
688;12944,42
689;74961,02
690;3330,36
691;45242,64
692;42352,14
693;11541,9
694;43231,86
695;39461,64
696;5026,96
697;56143,3
698;8168,81
699;185180,64
700;24206,04
701;1005,39
702;11564,52
703;11559,49
704;74901,7
705;502696,0
706;301743,27
707;399643,32
708;40529,87
709;54291,17
710;207594,22
711;381567,63
712;40215,68
713;23752,39
714;66230,2
715;26391,54
716;22998,34
717;215081,14
718;102801,33
719;32926,59
720;216033,61
721;54112,46
722;24003,73
723;121149,74
724;92621,74
725;39142,99
726;123411,87
727;107953,97
728;23878,06
729;88600,17
730;19468,16
731;53285,78
732;90610,95
733;119641,65
734;119641,65
735;56268,02
736;57684,37
737;26265,87
738;112729,58
739;11813,36
740;31041,48
741;16714,64
742;52513,51
743;52513,51
744;62837,0
745;42603,49
746;18411,24
747;46436,54
748;22637,31
749;21615,93
750;114991,71
751;283332,03
752;19479,96
753;12064,7
754;53788,47
755;39838,66
756;192515,63
757;20359,19
758;15395,07
759;60658,48
760;25962,56
761;19982,17
762;222442,98
763;280253,02
764;52783,08
765;17594,36
766;53662,8
767;67109,92
768;21992,95
769;219929,5
770;214651,19
771;74901,7
772;98214,23
773;225463,63
774;125674,0
775;110404,61
776;144525,1
777;15080,88
778;39084,61
779;16840,32
780;11059,31
781;18104,23
782;10682,29
783;33931,98
784;41723,77
785;80808,38
786;30497,31
787;37325,18
788;28402,32
789;38154,63
790;106068,86
791;97523,02
792;153699,3
793;80180,01
794;18976,77
795;25134,8
796;62334,3
797;121401,08
798;52280,38
799;97316,84
800;71241,35
801;115620,08
802;125674,0
803;11626,73
804;82570,33
805;65099,13
806;502696,0
807;143959,57
808;165386,98
809;16211,95
810;13509,96
811;23283,91
812;18348,4
813;274116,08
814;185871,85
815;157922,15
816;314,19
817;285639,76
818;246572,39
819;154538,8
820;296464,97
821;87469,1
822;65978,85
823;38330,57
824;75907,1
825;18864,66
826;27145,58
827;117307,88
828;107506,57
829;75907,1
830;77163,84
831;207110,75
832;15652,04
833;33303,61
834;176948,99
835;16463,29
836;125674,0
837;50143,93
838;125674,0
839;112101,21
840;36948,16
841;22244,3
842;50583,79
843;19605,14
844;85458,32
845;257568,86
846;17845,71
847;71885,53
848;28653,67
849;125674,0
850;320468,7
851;12755,91
852;172824,22
853;100790,55
854;100413,53
855;223574,05
856;47504,77
857;13824,14
858;113232,27
859;24255,08
860;86463,71
861;84730,96
862;99590,36
863;91490,67
864;30036,09
865;36188,14
866;47253,42
867;69007,59
868;35938,29
869;23375,36
870;61580,26
871;10833,1
872;45101,7
873;38456,24
874;26014,52
875;37450,85
876;125674,0
877;55296,56
878;12567,4
879;502696,0
880;3141,85
881;12944,42
882;11436,33
883;4021,57
884;84818,64
885;22684,16
886;13197,27
887;33749,99
888;52800,67
889;154654,42
890;99659,48
891;18725,43
892;31041,48
